"_model_name","flesch_reading_ease_lang_de","mtld","meteor","chrf_target_score_word_order_2","ter_target_score","character_target_cer_score","bertscore_lang_de_target_f1"
"source","28.989529384068817","94.75366908519405","","","","",""
"reference","62.65471591348458","39.95803129864766","","","","",""
"unsloth/Llama-3.1-8B-Instruct-GGUF__Llama-3.1-8B-Instruct-UD-Q8_K_XL.gguf","46.976192489620445","64.3094812985347","0.16650637516392894","17.1114087771664","102.78223649010165","0.8518816437292712","0.6929295953409171"
"bartowski/Llama-3.1-SauerkrautLM-8b-Instruct-GGUF__Llama-3.1-SauerkrautLM-8b-Instruct-Q8_0.gguf","48.40721329611077","61.6700860720465","0.16538530571855015","20.233410040608614","103.13402783857131","0.8350404877939728","0.7027414050840196"
"bartowski/Mistral-Nemo-Instruct-2407-GGUF__Mistral-Nemo-Instruct-2407-Q6_K_L.gguf","47.11495336623656","71.3790560182018","0.17318505267426945","22.565626111947957","100.14099400775467","0.8498802861761757","0.7079903009426163"
"QuantFactory/EuroLLM-9B-Instruct-GGUF__EuroLLM-9B-Instruct.Q8_0.gguf","38.488302791033504","94.94687051766854","0.15751671759572344","20.548586346243205","98.9501312335958","0.8678343026894427","0.6947123517990113"
"unsloth/phi-4-GGUF__phi-4-Q5_K_M.gguf","52.59308739629685","65.90336241644982","0.17948247022699146","24.24872105933821","118.44411009823878","0.8682352877719478","0.6912861699183311"
"unsloth/gemma-3-12b-it-GGUF__gemma-3-12b-it-UD-Q6_K_XL.gguf","67.8970379335977","49.53142955915458","0.20920593261004047","26.65617806398002","128.35272504592774","0.8671226695363083","0.69793863121201"
"unsloth/Qwen3-14B-GGUF__Qwen3-14B-UD-Q5_K_XL.gguf","46.9243627316465","62.546024796168936","0.162345954920676","21.750990649355227","110.59333513952858","0.8505097562625994","0.691168343983822"
"unsloth/DeepSeek-R1-0528-Qwen3-8B-GGUF__DeepSeek-R1-0528-Qwen3-8B-UD-Q8_K_XL.gguf","61.513535235549256","50.619302093054316","0.18851266226103147","24.444857833415085","119.87980092027419","0.8421687269619473","0.695948623948627"
"mradermacher/Tower-Plus-9B-GGUF__Tower-Plus-9B.Q8_0.gguf","48.70454150763467","63.18646188551483","0.18005112035424878","23.89794368644977","108.0947767110015","0.8401021402976651","0.7028344231244374"
